Unnamed: 0,Disease,workout
0,Fungal infection,Kapalbhati Pranayama (promotes detox & immunity)
1,Fungal infection,Anulom Vilom (balances respiratory & nervous system)
2,Fungal infection,Surya Namaskar - gentle 3 rounds (improves circulation)
3,Fungal infection,Ardha Matsyendrasana (seated spinal twist - supports detox)
4,Fungal infection,Cat-Cow (Marjariasana) for stimulating circulation
5,Fungal infection,Meditation/Stress-reduction practice (reduces flare-ups)
6,Allergy,Anulom Vilom (alternate nostril breathing - reduces inflammation)
7,Allergy,Bhramari Pranayama (calms airways and nervous system)
8,Allergy,Bhujangasana (Cobra Pose - chest opening for breathing)
9,Allergy,"Setu Bandhasana (Bridge - expands chest, eases congestion)"
10,Allergy,Gentle neck and shoulder mobility (reduce trigger tension)
11,Allergy,Guided relaxation (reduces histamine-triggering stress)
12,GERD,Vajrasana (sitting post-meal to aid digestion)
13,GERD,Pawanmuktasana (wind-relieving pose for bloating)
14,GERD,Ardha Matsyendrasana (gentle twist to support digestion)
15,GERD,Pranayama: slow Anulom Vilom (calm vagal tone)
16,GERD,"Supported bridge (Setu Bandha) - gentle core support, avoid strain"
17,GERD,Relaxation with diaphragmatic breathing (reduce reflux episodes)
18,Chronic cholestasis,Ardha Matsyendrasana (gentle twists to stimulate liver)
19,Chronic cholestasis,Dhanurasana (Bow Pose - stimulates abdominal organs gently)
20,Chronic cholestasis,Paschimottanasana (seated forward bend - aids detox)
21,Chronic cholestasis,"Surya Namaskar - slow, 3–5 rounds (boosts metabolism)"
22,Chronic cholestasis,Diaphragmatic breathing / Pranayama for oxygenation
23,Chronic cholestasis,Guided meditation for stress reduction and hepatic support
24,Drug Reaction,Restorative yoga (supported Supta Baddha Konasana) for healing
25,Drug Reaction,Yoga Nidra (deep relaxation to support recovery)
26,Drug Reaction,Gentle mobility: Cat-Cow and pelvic tilts (reduce stiffness)
27,Drug Reaction,Pranayama: slow Anulom Vilom (improves oxygenation)
28,Drug Reaction,Shavasana with body-scan relaxation (reduces systemic stress)
29,Drug Reaction,Light joint mobility & stretching (as tolerated)
30,Peptic ulcer disease,Vajrasana (promotes post-meal digestion)
31,Peptic ulcer disease,"Pranayama: Anulom Vilom (calming, reduces acid-related stress)"
32,Peptic ulcer disease,"Pawanmuktasana (gentle, relieves abdominal discomfort)"
33,Peptic ulcer disease,Seated forward bend - mild (avoid deep compressions)
34,Peptic ulcer disease,Guided relaxation / Shavasana (lowers stress-related acid secretion)
35,Peptic ulcer disease,"Gentle walking (short, post-recovery, aids gut motility)"
36,AIDS,"Restorative Surya Namaskar (very gentle, short sequences)"
37,AIDS,Supta Baddha Konasana (restorative chest opening)
38,AIDS,Anulom Vilom Pranayama (supports respiratory & immune function)
39,AIDS,"Gentle resistance/functional mobility (bodyweight, low intensity)"
40,AIDS,Yoga Nidra (supports sleep and recovery)
41,AIDS,Meditation for mental resilience and stress reduction
42,Diabetes,Surya Namaskar (5–6 rounds - metabolic activation)
43,Diabetes,"Kapalbhati (short, controlled intervals - pancreatic stimulation)"
44,Diabetes,Anulom Vilom (balances autonomic nervous system)
45,Diabetes,Dhanurasana (Bow Pose - stimulates abdominal organs)
46,Diabetes,Leg raises and dynamic ankle pumps (improve circulation)
47,Diabetes,Tadasana & balancing poses (Vrikshasana) with breath awareness
48,Gastroenteritis,Balasana (Child’s Pose) - restorative during recovery
49,Gastroenteritis,Reclined Bound Angle Pose (Supta Baddha Konasana) to relax abdomen
50,Gastroenteritis,Diaphragmatic breathing (slow Anulom Vilom) for calming GI tract
51,Gastroenteritis,Gentle supine twists (avoid during acute phase; use mild versions)
52,Gastroenteritis,Restorative Shavasana (support hydration and recovery)
53,Gastroenteritis,"Light post-recovery walking (short, gentle)"
54,Bronchial Asthma,Bhramari Pranayama (humming breath - soothes airways)
55,Bronchial Asthma,Anulom Vilom (alternate nostril - improves lung efficiency)
56,Bronchial Asthma,Kapalbhati (practiced moderately and only if advised)
57,Bronchial Asthma,Bhujangasana (Cobra) for chest opening and lung expansion
58,Bronchial Asthma,Ardha Matsyendrasana (spinal twist for rib mobility)
59,Bronchial Asthma,Controlled diaphragmatic breathing exercises (pursed-lip technique)
60,Hypertension,Bhramari Pranayama (lowers sympathetic activity)
61,Hypertension,Anulom Vilom (calming breath to reduce BP spikes)
62,Hypertension,Shavasana (deep relaxation to lower baseline BP)
63,Hypertension,Gentle restorative yoga sequence (avoid forceful inversions)
64,Hypertension,Mindfulness meditation (stress hormone reduction)
65,Hypertension,Neck/shoulder mobility plus gentle standing poses (avoid heavy exertion)
66,Migraine,Shavasana and Yoga Nidra (reduce cortical hyperexcitability)
67,Migraine,Sukhasana with gentle neck stretches (avoid strain)
68,Migraine,Bhramari Pranayama (calming for headache)
69,Migraine,"Viparita Karani (legs-up-wall, gentle, if tolerated)"
70,Migraine,Gentle forward fold and neck release (as tolerated)
71,Migraine,Guided relaxation and progressive muscle relaxation
72,Cervical spondylosis,Neck mobility exercises with slow breath (avoid jerks)
73,Cervical spondylosis,Gentle Cobra (Bhujangasana) for upper back strength
74,Cervical spondylosis,Chin tucks and scapular squeezes (physio-style)
75,Cervical spondylosis,Supported bridge (Setu Bandha) for posture
76,Cervical spondylosis,Sukhasana with spine elongation and pranayama
77,Cervical spondylosis,Avoid heavy neck flexion/rotation; include guided relaxation
78,Paralysis (brain hemorrhage),Passive range-of-motion assisted stretching (physiotherapy-guided)
79,Paralysis (brain hemorrhage),Bed-based gentle yoga mobilizations (supported)
80,Paralysis (brain hemorrhage),Breathwork: gentle Anulom Vilom to improve oxygenation
81,Paralysis (brain hemorrhage),Isometric holds for safe muscle activation (therapist guided)
